UserId,Department/Region,Initiative/programme/project's name??,Related CPO or GLO under P&B 2024-2025,Web link??,Short description?,Country or Region,New or long-standing,Funding source (Options: regular budget or extrabudgetary),DC code if applicable,"Focus 
(Options: Youth only or Youth is one of the target groups)",Is it part of a UN Joint Programme (Yes or No),year
USR-202506-0027,Region: Asia and the Pacific,Business Development Service Centers,"BGD102 - Improved national capacity to develop sustainable enterprises for inclusive economic growth, decent jobs and just transition.",,"Three Business Development Service
Centers were successfully established
and operated at the Chattogram
Women Chamber of Commerce and
Industry, the Sylhet Women Chamber
of Commerce and Industry, and the
National Association of Small and
Cottage Industries of Bangladesh,
provided over 2,000 members with
operational and tailored business
development services.",Asia and the Pacific,New,extrabudgetary,BGD/20/05/CAN,Youth are one of the target groups,No,2024
USR-202506-0027,Region: Asia and the Pacific,Contribution to SME policy amendment,,,"Provided Technical Assistance to SME Foundaiton to organize a series of national and regional consultations, indentifying seven key priority areas for SME policy through revision policy dialogue and engaging 92 stakeholders. The revision
inputs explicitly addressing the needs of MSMEs, with a dedicated emphasis on
green and digital business, responsible business conduct, formalization and
women-led and youth enterprises.",Asia and the Pacific,New,extrabudgetary,BGD/20/05/CAN,Youth are one of the target groups,No,2024
USR-202506-0027,Region: Asia and the Pacific,Gender and Skills Taskforce,"BGD101 Policies & programmes to promote full, productive & decent employment operationalised.",,"To steer policies and strategies related towards gender equality in skills and TVET for young women, a high level National Gender and Skills Taskforce has been formed, through inter-ministerial meetings, leading to finalization of the Composition and the Scope of Work of the National Steering Committee (NSC) and 2 sub-committees of the Task force. A draft Operational Plan of the Taskforce has been developed, while a Government Order on the Taskforce is pending approval by the Education Advisor, followed by formal launching and implementation.",Asia and the Pacific,New,extrabudgetary,BGD/20/05/CAN,Youth are one of the target groups,No,2024
USR-202506-0027,Region: Asia and the Pacific,Labour Market Monitoring and Planning platform,"BGD101 Policies & programmes to promote full, productive & decent employment operationalised.",,"Work is in progress to build capacity of Department of Youth Development to improve labour market governance by operating data-driven Labour Market Monitoring and Planning platform. In collaboration with ILO and BRAC, UNDP / a2i, 8 out of 15 modules, including youth profile, Dashboard, and Job Management System, were developed to support monitoring of labour market demands and skills supply. A consultative process to assess local needs, involving district administration and industry representatives was followed toward identification and development of these modules.",Asia and the Pacific,New,extrabudgetary,BGD/21/02/CAN ,Youth are one of the target groups,Yes,2024
USR-202506-0027,Region: Asia and the Pacific,Delivery of industry demand driven skills training for youth,"BGD101 Policies & programmes to promote full, productive & decent employment operationalised.",,"Based on industry skills needs assessments, ILO is providing technical assistance to Department of Youth Development, Technical and Madrasah Education Department / Directorate of Technical Education, Bangladesh Technical Education Board, and National Skills Development Authority, to develop competency standards, training trainers and assessors, and setting up institutional mechanisms for delivering skills training to youth on occupations within sectors (e.g. manufacturing, agro / food processing, tourism and hospitality, ICT)  that have high potential for youth employment in Bangladesh.",Asia and the Pacific,Long-standing,extrabudgetary,"BGD/21/02/CAN
BGD/20/05/CAN ",Youth are one of the target groups,No,2024
USR-202506-0027,Region: Asia and the Pacific,Employment Support Services for youth,"BGD101 Policies & programmes to promote full, productive & decent employment operationalised.",,"An Employment Support Services center at the Department of Youth Development office in Coxs Bazar was setup in 2024, collaboratively by ILO, BRAC, and DYD, and is providing career counselling and 360-degree career (wage-employment) solutions to help them become ready for their careers and aim to serve as the bridge between them and their potential employers. 120 youth (48% female) received employment support services through ESS as of December 2024. 
Out of these, 42 youth (35% of total participants) have already secured employment or engaged in income-generating activities, enabling them to support themselves and their families. ",Asia and the Pacific,New,extrabudgetary,BGD/21/02/CAN ,Youth are one of the target groups,Yes,2024
USR-202506-0027,Region: Asia and the Pacific,Market systems and value chain development,"BGD102 - Improved national capacity to develop sustainable enterprises for inclusive economic growth, decent jobs and just transition.",,"ILO is adopting Market Systems Development (MSD) and private sector engagement approaches to promote entrepreneurship in a number of value chains including agro-processing, tourism (including community based tourism initiatives) and seaweed (including farmers' productivity and local service providers). Interventions are supporting backward and forward value chain linkages and participation for women and youth, mobilizing support functions such as finance and technology, facilitating value chain upgrading and access to new and profitable markets, introducing occupational health and safety training in value chains, and supporting the creation of green and decent jobs.",Asia and the Pacific,New,extrabudgetary,"BGD/21/02/CAN
BGD/20/05/CAN ",Youth are one of the target groups,No,2024
USR-202506-0027,Region: Asia and the Pacific,Apprenticeship training in agro processing,"BGD102 - Improved national capacity to develop sustainable enterprises for inclusive economic growth, decent jobs and just transition.",,"500 apprentices were training in partnership with Bangladesh Agro Processors Association (BAPA) on quality apprenticeship, linking apprentices to over 10 companies in agro-processing and around 95% of them have now secured formal jobs in these enterprises",Asia and the Pacific,New,extrabudgetary,BGD/20/05/CAN ,Youth are one of the target groups,No,2024
USR-202506-0027,Region: Asia and the Pacific,Apprenticeship training in informal sector,"BGD101 Policies & programmes to promote full, productive & decent employment operationalised.",,"1,400 learners in Coxs Bazar participated in training, including 58% women and 8.6% persons with disabilities. Of these, 98.5% (1,380 learners) successfully graduated. By the reporting period, 97.7% of graduates (58% women and 8.6% persons with disabilities) had secured decent jobs.",Asia and the Pacific,New,extrabudgetary,BGD/21/02/CAN ,Youth are one of the target groups,Yes,2024
USR-202506-0028,Region: Asia and the Pacific,Technical support on newly announced employment linked incentive scheme,IND101,,"The Government of India announced three significant Employment-Linked Incentive (ELI) schemes in the Union Budget 2024 to promote formal job creation for youth. These schemes aim to support both employees and employers through enrolment in the Employee Provident Fund Organisation (EPFO). The ILO has been actively involved in providing technical support to the Ministry of Labour and Employment (MoLE) in designing these schemes. As part of this support, a technical note was developed, informed by a review of global best practices and data analysis of India’s formal industrial sector. Preliminary findings were presented to MoLE during a consultation organized with international organizations. Additionally, stakeholder consultations were held with employers' organizations to gather their perspectives on the program and explore ways to enhance its uptake. Discussions were also conducted with trade unions. Based on the feedback received from various constituents, the final technical note was submitted to the Labour Secretary. Notifications regarding the final design of the schemes are currently awaited.",Asia and the Pacific,New,Regular Budget,,Youth Only,No,2024
USR-202506-0028,Region: Asia and the Pacific,SPARK Project,IND 104,https://www.ilo.org/projects-and-partnerships/projects/sparking-disability-inclusive-rural-transformation-spark,Supported induction of disability-inclusion champion youth/women in Maharshtra's flagship rural women empowerment programme,Asia and the Pacific,New,Extrabudgetary,"INT/20/05/LWI
",Youth only,No ,2024
USR-202506-0028,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,labour inspections,IDN 129,,labour inspections,Asia and the Pacific,New,extrabudgetary,,Youth are one of the target groups,No,2024
USR-202506-0029,Region: Asia and the Pacific,Agroforestry Skills for Employment and Resilience in Timor-Leste,TLS 101 ,https://www.ilo.org/projects-and-partnerships/projects/agroforestry-skills-employment-and-resilience-timor-leste,"Curricula design, skills needs analysis, training of trainers, training of beneficaries, employment services. The European Union (EU) “Agroforestry-Skills” programme seeks to promote green and sustainable economic diversification and resilience in Timor-Leste through private sector development, technical and vocational education training (TVET) for youth integration in the labour market.",Asia and the Pacific,New,extrabudgetary,,Youth are one of the target groups,No,2024
USR-202506-0029,Region: Asia and the Pacific,Sensitization on youth rights at work,IDN 802,,Awareness raising ,Asia and the Pacific,Long-standing,Regular Budget,,Youth only,,2024
USR-202506-0029,Region: Asia and the Pacific,Anything done by the Office in terms of technical assistance benefits the youth employment dimension. See annual IRIS report for the full list.,,,,Asia and the Pacific,,Regular Budget,,Youth are one of the target groups,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0030,Region: Asia and the Pacific,Strengthening of Employment Service Centers in Nepal (SESC) Project,NPL 126,,Labour Market Assessment (LMA) to develop the provincial and local level employment strategy,Asia and the Pacific,New,extrabudgetary,NPL/22/03/CHE,Youth are one of the target groups,No,2024
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,Development of Fiji National Employment Policy with youth component,FJI126,https://www.ilo.org/resource/news/fiji-resumes-work-new-national-employment-policy-ilo-support,The ILO is providing technical support to the Government of Fiji to develop its second National Employment Policy. One of the priority areas of the policy will be youth employment.,Asia and the Pacific,New,extrabudgetary,RAS/21/53/UND,Youth are one of the target groups,Yes,2024
USR-202506-0031,Region: Asia and the Pacific,Development of Vanuatu National Employment Policy with youth component,VUT126,https://www.ilo.org/resource/news/vanuatu-works-towards-first-national-employment-policy,The ILO is providing technical support to the Government of Vanuatu to develop its first-ever National Employment Policy. One of the priority areas of the policy will be youth employment.,Asia and the Pacific,New,extrabudgetary,RAS/21/53/UND,Youth are one of the target groups,Yes,2024
USR-202506-0031,Region: Asia and the Pacific,Development of Kiribati National Employment Policy with youth component,KIR101,,The ILO is providing technical support to the Government of Kiribati to develop its first-ever National Employment Policy. One of the priority areas of the policy will be youth employment.,Asia and the Pacific,New,extrabudgetary,RAS/21/56/UND,Youth are one of the target groups,Yes,2024
USR-202506-0031,Region: Asia and the Pacific,Development of Tonga National Employment Policy with youth component,TON102,https://www.ilo.org/resource/news/tonga-validates-its-first-national-employment-policy,The ILO is providing technical support to the Government of Tonga to develop its first-ever National Employment Policy. One of the priority areas of the policy will be youth employment.,Asia and the Pacific,New,extrabudgetary,RAS/21/53/UND,Youth are one of the target groups,Yes,2024
USR-202506-0031,Region: Asia and the Pacific,Development of Marshall Islands National Employment Policy with youth component,MHL126,https://www.ilo.org/resource/news/ilo-commences-work-republic-marshall-islands-rmi-employment-policy,The ILO is providing technical support to the Government of Marshall Islands to develop its first-ever National Employment Policy. One of the priority areas of the policy will be youth employment.,Asia and the Pacific,New,extrabudgetary,RAS/21/56/UND,Youth are one of the target groups,Yes,2024
USR-202506-0031,Region: Asia and the Pacific,Development of Palau National Employment Policy with youth component,PLW126,https://www.ilo.org/resource/news/ilo-emphasises-demand-driven-approach-palau,The ILO is providing technical support to the Government of Palau to develop its first-ever National Employment Policy. One of the priority areas of the policy will be youth employment.,Asia and the Pacific,New,extrabudgetary,RAS/21/56/UND,Youth are one of the target groups,Yes,2024
USR-202506-0031,Region: Asia and the Pacific,Development of Solomon Islands National Employment Policy with youth component,SLB126,https://www.ilo.org/resource/news/solomon-islands-validates-its-first-national-employment-policy,The ILO is providing technical support to the Government of Solomon Islands to develop its first-ever National Employment Policy. One of the priority areas of the policy will be youth employment.,Asia and the Pacific,New,extrabudgetary,RAS/21/53/UND,Youth are one of the target groups,Yes,2024
USR-202506-0031,Region: Asia and the Pacific,Development of Cook Islands National Employment Policy with youth component,COK126,,The ILO is providing technical support to the Government of Cook Islands to develop its first-ever National Employment Policy. One of the priority areas of the policy will be youth employment.,Asia and the Pacific,New,Regular Budget,,Youth are one of the target groups,No,2024
USR-202506-0031,Region: Asia and the Pacific,Support to Government of Tonga to set up pilot apprenticeship scheme,TON102,https://www.ilo.org/addressing-skills-shortages-and-high-youth-unemployment-through-cookery,"The Ministry of Trade and Economic Development (MTED), in collaboration with the Tongan Chamber of Commerce and Industry (TCCI), the Ahopanilolo Technical Institute (ATI), and the International Labour Organization (ILO), has launched Tonga’s first Quality Apprenticeship Programme in Cookery. This pioneering initiative aims to tackle skills shortages and high youth unemployment by offering practical training and work-based learning opportunities in the culinary field for Tongan youth.",Asia and the Pacific,New,extrabudgetary,RAS/21/53/UND,Youth only,Yes,2024
USR-202506-0031,Region: Asia and the Pacific,Development of Tonga Apprenticeship Policy,TON102,,The ILO is providing uspport to the Government of Tonga to develop an Apprenticeship Policy.,Asia and the Pacific,New,extrabudgetary,RAS/21/53/UND,Youth only,Yes,2024
USR-202506-0032,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0033,"Employment Policy, Job Creation and Livelihoods",Vanuatu National Employment Policy,CPO-VUT126,,"The national employment policies is intended to complement the and support the existing 10 Year Youth Sectoral Strategic Plan 2023-2033. And in Priority 1 Enhancing opportunities for all, Youth Challenge Vanuatu is one of the key actors to be coordinated to policymaking and implementation.",Asia and the Pacific,New,extrabudgetary,,Youth are one of the target groups,No,2024
USR-202506-0033,"Employment Policy, Job Creation and Livelihoods",Armenia Strategic Plan for Employment,CPO-ARM152,,Chapter 4 focuses on employment policies for 18-29 Youth not studing or working,Europe and Central Asia,New,extrabudgetary,,Youth are one of the target groups,No,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",Technical assistance to COTU-K ,,,Technical assistance to COTU-K to help them develop their youth engagement action plan.,Africa,New,extrabudgetary,,Youth are one of the target groups,No,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0035,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0035,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0035,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",Senegal - technical inputs to the Project "métiers verts - financement gouvernement canadien",SEN101,,Technical support to a DC project focusing on the green economy. ,Africa,New,extrabudgetary,,Youth are one of the target groups,No,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",Madagascar - drafting of a CN for Japan's funding.,,,Draft of a concept note for a project proposal for Madagascar on a crisis response focusing on youth employment,Africa,New,extrabudgetary,,Youth only,No,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",Kenya - technical inputs to the SDG MPTF Kenya PRODOC - Canada,,,Technical support to a DC project focusing on the SDGs. ,Africa,New,extrabudgetary,,Youth are one of the target groups,Yes,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",Senegal - technical inputs to "Raising the Bar for TVET: Boosting TVET Attractiveness through Though Youth Engagement",SEN101,,Technical support to a DC project focusing on skills and TVET/employability. ,Africa,New,extrabudgetary,,Youth only,No,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",Mozambique - technical inputs and guidance for the "Operationalisation of the action plan of the employment policy for rural youth",MOZ101,,Support in the development of a guide on employment policy for rural youth.,Africa,New,Regular Budget,,Youth only,No,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods","Pakistan - ILO-UNICEF - Towards building capacities of youth on Green Skills, Jobs and Enterpreneruship in South Asia",,,Technical input to a project proposal,Asia and the Pacific,New,extrabudgetary,,Youth are one of the target groups,Yes,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",Peru - policy advice and inputs to the regional Specialist for the Ministry of Economy for a? Cash for Work programme,,,Technical inputs for a programme led by the Ministry of Economy,Americas,New,Regular budget,,Youth are one of the target groups,No,2024
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,109052 De Una! Transformando a mi comunidad,,https://www.ilo.org/es/resource/news/se-lanza-el-proyecto-de-una-para-promover-oportunidades-para-la-juventud-en,"Support for the 'Mi primer trabajo' program by the Ministry of Labor, aimed at training young people and helping them enter their first work experience.",Americas,Long-standing,extrabudgetary,,Youth only,Yes,2024
USR-202506-0038,Region: Latin America and the Caribbean,Youth Employment Study: Mexico’s Jovenes Construyendo Futuro Program Evaluation,MEX106,,"Study on youth employment in LAC, focused on Mexico’s Jóvenes Construyendo el Futuro program, with proposals to improve its monitoring and evaluation.",Americas,New,Regular budget,,Youth only,No,2024
USR-202506-0038,Region: Latin America and the Caribbean,National Youth Employment Policy,working on a CPO,,supporting the development of a National Youth Empoyment Policy with Ministry of Youth Development  and National Services,Americas,New,Regular budget,,Youth only,No,2024
USR-202506-0038,Region: Latin America and the Caribbean,Project for the Implementation of INADEH's Comprehensive Transformation and Improvement Plan,PAN129,,"The project aims to strengthen the TVET institution in Panama by developing a high-quality, relevant training offer that enhances youth employability. This includes the creation of new training programs, the promotion of quality apprenticeships, and the provision of comprehensive vocational guidance.",Americas,New,extrabudgetary,,Youth are one of the target groups,Yes,2024
USR-202506-0038,Region: Latin America and the Caribbean,Implementation of the National Pact for Productive Inclusion of Youth,BRA102,https://www.pactopelasjuventudes.org/,Federal government and employer/business organizations take actions related to the implementation of the National Pact for Productive Inclusion of Youth,Americas,New,Regular Budget,,Youth only,No,2024
USR-202506-0038,Region: Latin America and the Caribbean,National Apprenticeship Forum,BRA102,https://www.gov.br/trabalho-e-emprego/pt-br/noticias-e-conteudo/2024/Junho/forum-nacional-de-aprendizagem-profissional-retoma-suas-atividades,The government adopts measures to enhance the apprenticeship system with a focus on the future of work and just transition,Americas,New,Regular Budget,,Youth only,No,2024
USR-202506-0038,Region: Latin America and the Caribbean,Aprendizagem Profissional Inclusiva,BRA102,,Implementation of a project that fosters apprenticeship and inclusion in the labour market among youth rescued from child labour in Maranh?o's state,Americas,New,extrabudgetary,BRA/17/50/BRA,Youth only,No,2024
USR-202506-0039,International Labour Standards,,,,,,,,,,,2024
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",ProAgro YOUTH,Output 3.5,https://www.ilo.org/projects-and-partnerships/projects/proagro-youth,Technical assistance provided to the ANEM - Public Employment Services in Algeria to design and deliver services to support re-skilling and upskilling of rural youth in unemployment and/or NEET,Africa,New,extrabudgetary,,Youth only,No,2024
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",ProAgro YOUTH,Output 3.5,https://www.ilo.org/projects-and-partnerships/projects/proagro-youth,Support provided to the national PES to align project's activities with national priorities and strategies,Africa,New,extrabudgetary,,Youth only,No,2024
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",ProAgro YOUTH,Output 3.5,https://www.ilo.org/projects-and-partnerships/projects/proagro-youth,Support provided to implementing partners in the design and delivery of services and training modules to promote green jobs for youth in the agrifood sector,Africa,New,extrabudgetary,,Youth only,No,2024
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",ProAgro YOUTH,Output 3.5,https://www.ilo.org/projects-and-partnerships/projects/proagro-youth,Support provided to CAM - Employer's organization- in the design and delivery of work-based learning opportunities for rural youth in the agrifood sector,Africa,New,extrabudgetary,,Youth only,No,2024
USR-202506-0041,Conditions of Work and Equality,,,,,,,,,,,2024
USR-202506-0041,Conditions of Work and Equality,,,,,,,,,,,2024
USR-202506-0042,Governance and Tripartism,ACCEL Africa II,,https://www.ilo.org/resource/article/skills-startups-how-siyb-training-empowering-kericho%E2%80%99s-youth-beat,Youth entrepreneurship training,Africa,Long-standing,extrabudgetary,,Youth only,No,2024
USR-202506-0042,Governance and Tripartism,ACCEL Africa II,,https://www.ilo.org/resource/article/rebuilding-futures-collaborative-effort-behind-reopening-fagbo-skills,Youth entrepreneurship training,Africa,New,extrabudgetary,,Youth only,No,2024
USR-202506-0042,Governance and Tripartism,ACCEL Africa II,,https://www.ilo.org/resource/other/promoting-vocational-skills-development-malawis-informal-tea-sector,Vocational skills training,Africa,New,extrabudgetary,,Youth only,No,2024
USR-202506-0042,Governance and Tripartism,ACCEL Africa II,CIV901,https://www.ilo.org/resource/news/soubr%C3%A9-regional-employment-eair-opportunity-decent-work-and-eradication,Jobs Fair for Youth,Africa,New,extrabudgetary,,Youth only,Yes,2024
USR-202506-0042,Governance and Tripartism,,,,,,,,,,,2024
USR-202506-0042,Governance and Tripartism,,,,,,,,,,,2024
USR-202506-0043,Region: Latin America and the Caribbean,,,,,,,,,,,2024
USR-202506-0043,Region: Latin America and the Caribbean,,,,,,,,,,,2024
USR-202506-0043,Region: Latin America and the Caribbean,,,,,,,,,,,2024
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
,,,,,,,,,,,,2025
,,,,,,,,,,,,2026
