UserId,Department/Region,Course/programme/project's name??,Related CPO or GLO under P&B 2024-2025,Web link??,Short description?,In person or online or both,With certification (Yes or No),New or long-standing,Funding source (Options: regular budget or extrabudgetary),Focus (Options: Youth only or Youth is one of the target groups),For public use or ILO staff only,year
USR-202506-0029,Region: Asia and the Pacific,"From Protocol to Practice: A Bridge to Global Action on Forced Labour 
(The Bridge Project-Phase II)  ",NPL 828,,Start and Improve Your Business (SYIB) to freed-Haliya and Harawa-Charawa,in-person,Yes,New,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0029,Region: Asia and the Pacific,A Systemic Approach to Strengthen Refugee and Host Community Livelihoods in Nepal,NPL 828,,Start and Improve Your Business (SYIB) to refugee and host community members together with support to start or expand their businesses,in-person,Yes,New,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0029,Region: Asia and the Pacific,Capacity building and prioritization workshop on National Employment Policy,,https://www.ilo.org/resource/news/tonga%E2%80%99s-first-ever-national-employment-policy-begins-take-shape,Tonga is developing its first-ever National Employment Policy. A capacity building workshop was organized to kick-off the process and provide capacity building on NEP. The workshop included a special session on "Promoting an inclusive labour market for youth".,in-person,No,New,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0031,Region: Asia and the Pacific,Training on youth rights at work in Iraq,,,"Youth employment stakeholders in Iraq, including staff from university Career Development Centers (CDCs), representatives from trade unions, the Ministry of Labour and Social Affairs (MOLSA), the Directorate of Labour and Social Affairs (DOLSA), the Ministry of Youth and Sports (MOYS), and young professionals from both the Kurdistan Region of Iraq (KRI) and Federal Iraq were trained on youth rights at work.",in-person,No,New,extrabudgetary,Youth are one of the target groups,,2025
USR-202506-0031,Region: Asia and the Pacific,Job Search Clubs in Uganda ,,,Seven Job Search Clubs were implemented in the Isingiro district supporting 108 young people with job search skills and mentorship. 41% of the young people undergoing the two weeks Job Search Clubs were able to find employment at the end of the training.,in-person,No,New,extrabudgetary,Youth only,,2025
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0032,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0033,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0033,"Employment Policy, Job Creation and Livelihoods",Webinar on Skills for Green Jobs for the IYD in collaboration with UNDESA,GLO435,,Webinar on devent jobs for youth for the IYD in 2024,online,No,New,Regular Budget,Youth only,Public use,2025
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",Zimbabwe - NEP course CN and delivered the YE session at the NEP course,ZMB126,,YE session in the NEP youse for Zimbabwe,online,No,New,Regular Budget,Youth are one of the target groups,Public use,2025
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0035,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0035,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0035,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,2025
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,2025
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,2025
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,2025
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,2025
USR-202506-0038,Region: Latin America and the Caribbean,ACCEL Africa II,CIV901,https://www.ilo.org/resource/other/promoting-vocational-skills-development-malawis-informal-tea-sector,Capacity building of stakeholders involved in Youth Employment and Child Labour on the ILO Training for Rural Economic Empowerment (TREE) and establishment of the TREE Committee,in-person,No,Long-standing,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,2025
USR-202506-0039,International Labour Standards,Technical Support for Enhancing the National Capacity to Prevent and Reduce Child Labour in Viet Nam (ENHANCE),"Output 3.5,VNM",https://www.ilo.org/projects-and-partnerships/projects/technical-support-enhancing-national-capacity-prevent-and-reduce-child,Providing training and capacity building on the prevention of child labour and the management of young workers in the fisheries sector of Viet Nam,in-person,yes,,extrabudgetary,Youth are one of the target groups,,2025
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",Technical Support for Enhancing the National Capacity to Prevent and Reduce Child Labour in Viet Nam (ENHANCE),,https://www.ilo.org/projects-and-partnerships/projects/technical-support-enhancing-national-capacity-prevent-and-reduce-child,"Supporting vocational skills training for children aged 14 to 17, and facilitating their access to vocational training services in Viet Nam",in-person,yes,,extrabudgetary,Youth are one of the target groups,,2025
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",Technical Support for Enhancing the National Capacity to Prevent and Reduce Child Labour in Viet Nam (ENHANCE),,https://www.ilo.org/projects-and-partnerships/projects/technical-support-enhancing-national-capacity-prevent-and-reduce-child,Enhancing the quality of vocational education by improving vocational counselling skills at vocational education institutions in Viet Nam.,in-person,yes,,extrabudgetary,Youth are one of the target groups,,2025
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",Technical Support for Enhancing the National Capacity to Prevent and Reduce Child Labour in Viet Nam (ENHANCE),,,"Collaborating with the Directorate of Vocational Education and Training (DVET) of Viet Namto develop two sets of documents:
(i) a Career Guidance Manual, and
(ii) a Handbook for Developing Vocational Training Programs aligned with market demand.",in-person,yes,,extrabudgetary,Youth are one of the target groups,,2025
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0041,Conditions of Work and Equality,,,,,,,,,,,2025
USR-202506-0041,Conditions of Work and Equality,,,,,,,,,,,2025
USR-202506-0042,Governance and Tripartism,,,,,,,,,,,2025
USR-202506-0042,Governance and Tripartism,2024 Youth Digital Leaders Campus ,CHN252,https://www.ilo.org/resource/news/global-youth-leaders-converge-2024-youth-digital-leaders-campus-guangzhou,"From 16 to 20 July 2024, the Youth Digital Leaders Campus was successfully held as one of key activities of the Youth Digital Leadership Programme jointly launched by the ILO and All-China Youth Federation (ACYF). The Campus brought together youth digital leaders from 19 countries and experts in entrepreneurship and digital skills to inspire youth around the globe to leverage digital innovations for global development, aligning with the 2030 Agenda for Sustainable Development.",in-person,Yes,New,Regular Budget,Youth only,Public use,2025
USR-202506-0042,Governance and Tripartism,Training on digital skills and on-line enterpreneurship for people living with HIV with cross sectional challenges in low GDP areas in China,CHN252,"https://www.ilo.org/resource/news/digital-skills-transformed-my-business
https://www.ilo.org/resource/news/inspiring-journey-tintin-women-living-hiv
https://www.ilo.org/resource/news/boosting-digital-competency-and-online-entrepreneurship-marginalized-plhiv","the ILO working jointly with the Women's Network against AIDS China carried out digital skill and on-line enterpreneuship training. 70 low income individuals living with HIV/AIDS in Sichuan Province empowered with cutting-edge knowledge and digital skills tailored to the modern era.
As a result, some participants have launched their own online businesses, while others have secured employment opportunities with local companies.",both/hybrid,No,New,extrabudgetary,Youth only,Public use,2025
USR-202506-0042,Governance and Tripartism,,,,,,,,,,,2025
USR-202506-0042,Governance and Tripartism,,,,,,,,,,,2025
USR-202506-0042,Governance and Tripartism,Myanmar Programme on the Elimination of Child Labour (livelihood and skills training for the youth),MMR101,https://www.ilo.org/projects-and-partnerships/projects/myanmar-programme-elimination-child-labour-my-pec/the-project,"The livelihoods, skills and entrepreneurship trainings were implemented through NGO partners in selected areas in Yangon, Ayeyarwady regions and Mon State. These sectors include agriculture and fisheries, mechanical skills, dress-making and entrepreneurship",in-person,No,Long-standing,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0043,Region: Latin America and the Caribbean,,,,,,,,,,,2025
USR-202506-0043,Region: Latin America and the Caribbean,SCREAM Training for Youth and Educators under the ARISE Project,PHlL135,,"The Project produced 12 SCREAM trainers, trained 94 basic education and ALS teachers,and 61 student-teachers",in-person,No,New,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0043,Region: Latin America and the Caribbean,Capacity-building for Public Employment Services (PES) and career guidance advocates on the ILO Job Readiness Trainers Guide and Workbooks,PHL 101,02 ILO Post-webinar Report v3.0.pdf,"With support from the Women in STEM project, the ILO provided capacity Building of 113 PESOs and Career Guidance advocates on job preparation for workforce readiness using ILO Job Readiness Trainers Guide and Workbooks, and ILO-TESDA Job Readiness Online Course.",both/hybrid,Yes,New,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",Training on WISE and SCORE,PHL 104,,"With ILO support, 271 Work Improvement in Small Enterprises (WISE) Trainers and 29 Sustaining Competitive and Responsible Enterprises (SCORE) Trainers were trained.   With WISE now integrated in BOSH-SO 1 and in DOLE Technical Advisory Visits (TAV), training outreach for WISE was expected to be as much 144,500 MSMEs. ",both/hybrid,Yes,Long-standing,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",Training on SIYB,PHL 104,,"With ILO support, 3,197 entrepreneurs trained by 318 SIYB trainers and 110 enterprises trained by 46 Financial Education trainers. The SIYB trainers were expected to reach additional 882 enterprises in 2024. ",both/hybrid,Yes,Long-standing,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",Conduct of Just Transition & Climate Action Capacity building workshops ,PHL 802,,"Conduct of Just Transition & Climate Action Capacity building workshops participated by (77) young workers & TU leaders in Cebu, Davao & Tacloban (Vis-Min  chapter of Associated Labor Unions), specifically belonging to the energy, transport, and allied sectors (maritime ports & logistics).

Training Workshop Design,  templates and info materials & a training team (composed of young TU leaders) who can  run the program for ALU.

(Loose) network of young workers who are engaged and can be mobilized for local JT initiatives.",in-person,No,New,extrabudgetary,Youth only,Public use,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",Youth Guarantee,SBU104,,capacity building of institutions involved in implementation of the YG,both/hybrid,No,,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0038,Region: Latin America and the Caribbean,Youth Guarantee,MKD130,,capacity building of institutions involved in implementation of the YG,both/hybrid,No,,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0038,Region: Latin America and the Caribbean,Youth Guarantee,ALB132,,capacity building of institutions involved in implementation of the YG,both/hybrid,No,,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0038,Region: Latin America and the Caribbean,Youth Guarantee,MNE129,,capacity building of institutions involved in implementation of the YG,both/hybrid,No,,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0038,Region: Latin America and the Caribbean,Youth Guarantee,SRB130,,capacity building of institutions involved in implementation of the YG,both/hybrid,No,,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0038,Region: Latin America and the Caribbean,Youth Guarantee,BiH128,,capacity building of institutions involved in implementation of the YG,both/hybrid,No,,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0038,Region: Latin America and the Caribbean,Capacity building on NEP implementation and effective coordination mechanisms ,MOZ101,,Training course was organzied in association with ITCILO and covered seevral topics on employment policy cycle ,in-person,Yes,Long-standing,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0038,Region: Latin America and the Caribbean,Tripartite workshop workshop on National Employment Policy Cycle in Zimbabwe,ZWE102,,The training course was held to the tripartite technical drafting committee for the National Employment Policy development,in-person,No,Long-standing,Regular Budget,Youth are one of the target groups,Public use,2025
USR-202506-0039,International Labour Standards,,,,,,,,,,,2025
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",Global Youth Forum 2024,,,,online,Yes,,extrabudgetary,Youth only,,2025
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",Skills Fair on Quality Apprenticeships,,,,both/hybrid,Yes,,extrabudgetary,Youth are one of the target groups,,2025
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",Boosting Decent Jobs and Enhancing Skills for the Youth in Rwanda's Digital Economy - ILO,,,,both/hybrid,Yes,,extrabudgetary,Youth only,,2025
USR-202506-0041,Conditions of Work and Equality,Community hackathon: Youth innovating against child labour - ILO,,,,both/hybrid,Yes,,extrabudgetary,Youth only,,2025
USR-202506-0041,Conditions of Work and Equality,The role of youth in the blue economy in Small Island Development States in the Pacific,,,,online,Yes,,extrabudgetary,Youth only,,2025
USR-202506-0042,Governance and Tripartism,Decent Jobs for Rural Youth,,https://www.itcilo.org/courses/decent-jobs-rural-youth,ITCILO Training course on decent jobs for rual youth organized in collaboration with EPAP (ITC) and SECTOR and EMPLAB/YOUTH in ILO-HQ.,online,Yes,New,extrabudgetary,Youth only,Public use,2025
USR-202506-0042,Governance and Tripartism,Young NEETs in the Southern Mediterranean region / Jeunes NEETs dans la r¨¦gion du sud de la M¨¦diterran¨¦e,,,,in-person,Yes,,extrabudgetary,Youth only,,2025
USR-202506-0042,Governance and Tripartism,The role of youth in the blue economy in the South West Indian Ocean,,,,online,Yes,,extrabudgetary,Youth only,,2025
USR-202506-0042,Governance and Tripartism,O papel dos jovens na economia azul,,,,online,Yes,,extrabudgetary,Youth only,,2025
USR-202506-0042,Governance and Tripartism,Union Foresight and Youth - Young Social Dialogue Champions Academy,,,,both/hybrid,Yes,,extrabudgetary,Youth only,,2025
USR-202506-0042,Governance and Tripartism,,,,,,,,,,,2025
USR-202506-0043,Region: Latin America and the Caribbean,,,,,,,,,,,2025
USR-202506-0043,Region: Latin America and the Caribbean,,,,,,,,,,,2025
USR-202506-0043,Region: Latin America and the Caribbean,,,,,,,,,,,2025
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",SIYB,GLO443,www.ilo.org/siyb ,Support to initiatives globally to strengthen capacity of constituents and partner organizations to use the ILO's Start and Improve your Business (SIYB) programme to promote youth entrepreneurship ,both/hybrid,Yes,Long-standing,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Module on rural youth as part of the ILO-ITC MOOC on Decent Work in rural areas,GLO433,https://www.ilo.org/resource/training-material/line-course-future-work-rural-economy,"This course provides an opportunity for participants to learn about a range of innovative approaches, tools and methods for promoting decent work in the rural economy. Upon completion of this self-paced learning path, a certification shall be released to participants. The module on rural youth is part of the set of modules, and delves into the promotion of more and better jobs for youth in agri-food sector and other rural economic sectors, while enhancing their rights and participation in social dialogue.",online,Yes,Long-standing,Regular Budget,Youth are one of the target groups,Public use,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Rural Developmen Academy,GLO433,https://www.itcilo.org/courses/ilo-academy-rural-development,"The 2025 Rural Development Academy comes at a crucial time as rural economies worldwide strive to create opportunities for decent work and promote social inclusion in an era of environmental change. Rural areas increasingly face challenges like climate impacts, biodiversity loss and shifting agricultural demands. This Academy will provide a platform to explore how a just transition can foster inclusive and resilient rural economies. A just transition towards environmentally sustainable economies and societies for all must be rooted in social justice and responsive to intergenerational needs, including the aspirations of young women and men in rural areas, leaving no one behind.",both/hybrid,Yes,Long-standing,Regular Budget,Youth are one of the target groups,Public use,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",ILO-ITC Decent Jobs for Youth Training,GLO433 and GLO435,https://www.itcilo.org/courses/decent-jobs-rural-youth,"This course aims to addressed issues related to promoting decent jobs for youth in rural areas, by providing an in-depth understanding of the context of rural employment in developing countries, outlining the particular challenges faced by rural youth, and young women in particular. It explored the various policy elements and intervention approaches that are needed to support rural youths.The course is of particular interest to policy-makers, planners, technical officials of relevant ministries, and other technical experts from relevant institutions. In particular, the course caters for policy advisors and practitioners from ministries of labour and employment, agriculture and rural development, economy and planning, other sectoral ministries, social partners, researchers and policy analysts from international, regional and national organizations, academia and donor organizations, particularly those who are active in the area of rural development. A gender-balanced participation is sought",online,Yes,New,Regular Budget,Youth only,Public use,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Regional Seminar under the Youth NEET programme,3.1 and 2.4,https://www.ilo.org/resource/news/ilo-organizes-regional-seminar-tunis-empower-policymakers-tackling-youth,"The seminar provided a thorough understanding of the challenges faced by NEET youth and equipped representatives from ministries, employment services, and social partners with tools and policies to improve employment and education access. Developed by the ITC ILO, the training covered key aspects of NEET engagement, including causes, intervention strategies, outreach methods, and support services. It highlighted successful international practices, such as the European Youth Guarantee, and introduced tools like profiling, mentoring, and employment incentives. The in-person seminar in Tunis also enabled participants to develop context-specific action plans and identify areas for technical support.",in-person,No,New,extrabudgetary,Youth only,Public use,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Youth Employment Promotion Project,MNG155,https://www.ilo.org/meetings-and-events/decent-work-youth-network-members-advocating-youth-rights-work,"The Clinical Education Center of the School of Law, National University of Mongolia (NUM)  and Decent Work for Youth Network organized the training using a newly translated Work Wise Youth guide tool that covers everything from young people¡¯s rights at work, including wages, occupational safety and health, prevention of violence and harassment in the world of work, and access to social security. The training was conducted in UB and 5 provinces, where 275 youths participated.",in-person,yes,New,extrabudgetary,Youth only,Public use,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Capacity Building of the Cooperative Work Agency (CWA),,,"Includes development of audit manual, strategic planning, and training for CWA staff to improve service delivery and cooperative governance.",in-person,No,New,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Cooperative Business Plan Competition with Al-Quds University,,,"Competition targeting youth-led cooperative business ideas, includes training, mentorship, and funding.",online,No,New,extrabudgetary,Youth only,Public use,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Integration of Think.COOP and Start.COOP in Al-Quds University Incubation Programmes,,,Capacity-building for young entrepreneurs in cooperative development.,online,Yes,New,extrabudgetary,Youth only,Public use,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Establishment of Childcare Cooperative with PGFTU,,,Training women to operate childcare cooperatives; focuses on gender empowerment and service provision.,in-person,No,New,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Training on Marketing and Food Packaging (WFP Partnership),,,Enhancing cooperative product quality and access to WFP markets through training and technical support.,online,No,New,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Study Tour to Italy (May 2025),,,Exposure visit for 9 Palestinian stakeholders to learn from Italian cooperative models and institutions.,in-person,No,New,extrabudgetary,Youth only,Public use,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0001,Region: Asia and the Pacific,,,,,,,,,,,2026
USR-202506-0001,Region: Asia and the Pacific,,,,,,,,,,,2026
USR-202506-0001,Region: Asia and the Pacific,,,,,,,,,,,2026
USR-202506-0002,Statistics,,,,,,,,,,,2026
USR-202506-0003,Region: Asia and the Pacific,,,,,,,,,,,2026
USR-202506-0003,Region: Asia and the Pacific,,,,,,,,,,,2026
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,2026
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,2026
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,2026
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,2026
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,2026
USR-202506-0005,Region: Arab States,,,,,,,,,,,2026
USR-202506-0006,Region: Arab States,,,,,,,,,,,2026
USR-202506-0006,Region: Arab States,,,,,,,,,,,2026
USR-202506-0006,Region: Arab States,,,,,,,,,,,2026
USR-202506-0006,Region: Arab States,,,,,,,,,,,2026
USR-202506-0006,Region: Arab States,,,,,,,,,,,2026
USR-202506-0006,Region: Arab States,,,,,,,,,,,2026
USR-202506-0007,Region: Arab States,,,,,,,,,,,2026
USR-202506-0007,Region: Arab States,,,,,,,,,,,2026
USR-202506-0007,Region: Arab States,,,,,,,,,,,2026
USR-202506-0007,Region: Arab States,,,,,,,,,,,2026
USR-202506-0007,Region: Arab States,,,,,,,,,,,2026
USR-202506-0007,Region: Arab States,,,,,,,,,,,2026
USR-202506-0007,Region: Arab States,,,,,,,,,,,2026
USR-202506-0007,Region: Arab States,,,,,,,,,,,2026
USR-202506-0007,Region: Arab States,"South Asia Leadership in Entrepreneurship (SALE), Sri Lanka components",LKA 107,https://island.lk/ilo-ceylon-chamber-and-ministry-of-education-come-together-to-foster-entrepreneurial-mindset-among-youth/,"ILO collaborated with the Ministry of Education to integrate entrepreneurship education into the national curriculum. They established E-Clubs in schools and organized events such as School Entrepreneurship Days, fostering an entrepreneurial mindset and providing resources for youth to develop business ideas.",in-person,No,New,extrabudgetary,Youth only,Public use,2026
USR-202506-0008,Region: Europe and Central Asia,"South Asia Leadership in Entrepreneurship (SALE), Sri Lanka components",LKA 107,https://www.chamber.lk/ceylon-chamber-launches-spark-2024-youth-entrepreneurship-competition/,"The Ceylon Chamber of Commerce capacity building focused entrepreneurship training and mentorship for youth. They organized competitions (e.g., SPARK competition) and School Entrepreneurship Days, helping young people understand business principles and gain practical experience in launching ventures.",in-person,No,New,extrabudgetary,Youth only,Public use,2026
USR-202506-0008,Region: Europe and Central Asia,"South Asia Leadership in Entrepreneurship (SALE), Sri Lanka components",LKA 107,https://www.ilo.org/sites/default/files/2025-01/Project%20Brief-Youth%20Entrepreneurship-SALE-SriLanka-2024.pdf,"With Central Bank of Sri Lanka, engaged in policy dialogues focused on the role of youth in entrepreneurship and economic growth. Through this partnership, the ILO helped build policy frameworks that support youth entrepreneurship, enhancing the entrepreneurial ecosystem in Sri Lanka.",in-person,No,New,extrabudgetary,Youth are one of the target groups,Public use,2026
