UserId,Department/Region,Initiative/output's name??,Related CPO or GLO under P&B 2024-2025,Web link??,Short description?,Flagship or periodic (Y/N)?,"Type of publication (Options: Evaluation, or Guidance/tools, or Technical Report, or Working paper, or Data/Database) ",New or Produced regularly,Funding source (Options: regular budget or extrabudgetary),Focus (Options: Youth only or Youth is one of the target groups),year
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0035,Region: Asia and the Pacific,,,,,,,,,,2024
USR-202506-0035,Region: Asia and the Pacific,,,,,,,,,,2024
USR-202506-0035,Region: Asia and the Pacific,Skills Needs Assessment and Anticipation Study for the Chattogram-Cox's Bazar Economic Corridor ,BGD101 ( Output 3.2),ILO Dhaka,"To identify skill gaps in key sectors like construction, tourism, and manufacturing. The study pinpointed 49 hard-to-fill occupations and informed the development of industry-demand-driven skills curricula",No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",A Just Transition With and For Youth,GLO435,"https://www.ilo.org/publications/just-transition-and-youth#:~:text=This%20policy%20brief%20underscores%20the,them%20with%20opportunities%20for%20development.",This policy brief underscores the critical need for a fair and inclusive shift towards environmentally sustainable economies. It advocates for measures to mitigate adverse impacts on youth while providing them with opportunities for development. ,No,Working paper,New,extrabudgetary,Youth only,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",Artificial Intelligence at the Service of Decent Jobs for Young Women and Men - March 2024,GLO435,,"This paper first sets out a clear taxonomy,
specifying the focus of the work. It then
reviews the existing literature to understand current AI trends, focusing on defining key terms used throughout the report. Based on these findings, the report assesses current AI trends, focusing on gaps in AI use, market challenges, and potential future trends that are likely to arise with the continuous development of AI. Considering these findings, the report proposes projects and next steps for the ILO to consider.",No,Working paper,New,Regular Budget,Youth only,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",Independent Internal Evaluation: Support to strengthening the inter-institutional governance in the field of labour exploitation (ITA/20/01/EUR),,,"Independent Internal Evaluation of the project focusing on the support the national authorities in enhancing their capacity to formulate, develop and implement reform policies and strategies to prevent and tackle labour exploitation, especially through evidence-based policies and protection and inclusion of victims of labour exploitation.",No,Evaluation,New,Regular Budget,Youth are one of the target groups,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods","Global - technical inputs and added a youth angle to the ""Jobs for Green Growth and a Just Transition: Bridging data, policy, and action for greener economies with decent work for women and youth"" report.?",GLO435,,Inputs on youth to the report Jobs for Green Growth and a Just Transition,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",YouthForesight Knowledge Platform - Knowledge Resources,GLO435,https://www.youthforesight.org/,"YouthForesight added 203 new knowledge resources in 2024, curated in collaboration with 10 contributing organizations. Resources include reports, tools, blogs and multimedia content focusing on youth employment, digital skills, green jobs and inclusion. While all materials are available on the platform, selected items aligned with thematic priorities were disseminated via bi-monthly newsletters, forum discussions and social media.",yes,Technical Report,Produced regularly,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,"Regional study on youth employment, based on mixed methods (quali / quanti), with policy recommendations",RLA165,,"Regional study on youth employment, based on mixed methods (quali / quanti), with policy recommendations",No,Technical Report,New,Regular Budget,Youth only,2024
USR-202506-0038,Region: Latin America and the Caribbean,Youth employment in Argentina,ARG 126,https://www.ilo.org/sites/default/files/2024-10/Trayectoria_laboral_juvenil_en_Argentina_web.pdf,"The difficulties faced by young people in entering the labour market are not new, but have deepened over time with the succession of socio-economic crises and health crises during the 21st century. Moreover, while instability is typical of the first experiences of working life, it is also the result of personal characteristics and the types of jobs that young workers occupy.
Improving the quality of youth labour market insertion continues to be a challenge in Argentina. Therefore, the aim of this research is to contribute to the characterisation of the entry, exit and rotation of people aged 18 to 24 in formal salaried jobs in the private sector in order to think of policies and lines of action that help to face the challenges they face in the  labour market

",No,Technical Report,New,Regular Budget,Youth only,2024
USR-202506-0038,Region: Latin America and the Caribbean,Laburencers' Campaign,ARG 126,https://www.ilo.org/es/resource/news/laburencers-una-campa%C3%B1a-de-oit-en-argentina-para-promover-el-di%C3%A1logo-sobre,"Argentina??''s office developed the 'Laburencers' Campaign, a communication strategy aimed at informing young people, tripartite counterparts, spaces for social dialogue and public policy development on the transition to the formal economy. Based on the results obtained in the 'Laburencers4' Campaign and in response to the demand of its constituents, the ILO Country Office for Argentina proposes the elaboration of a kit containing communication pieces in the form of a pedagogical proposal (card games, pieces for social networks) aimed at government actors to implement at the local level a participatory strategy to raise awareness on the labour rights of young people in Argentina.

",No,Guidance/Tools,,Regular Budget,Youth only,2024
USR-202506-0038,Region: Latin America and the Caribbean,Youth Employment Outlook in Colombia 2016?C2023,,https://www.ilo.org/es/publications/panorama-del-empleo-juvenil-en-colombia-2016-2023,"In 2024, the ILO Office in Colombia launched the report Youth Employment Outlook in Colombia 2016?C2023, which analyzes trends in youth labor market participation, unemployment, informality, and access to education and training. The report provides key evidence to inform policy dialogue and improve employment strategies targeting young people.",No,Technical Report,New,extrabudgetary,Youth only,2024
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,2024
USR-202506-0039,International Labour Standards,,,,,,,,,,2024
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",Active Labour Market Programs Improve Employment and Earnings of Young People,Output 3.5,https://www.ilo.org/publications/active-labour-market-programs-improve-employment-and-earnings-young-people,"A systematic review by the World Bank and the International Labour Organization (ILO) combines results from evaluations of 220 youth-focused active labour market programs (ALMPs) conducted around the world since 1990. The evidence shows that investments in labour market programs for young people pay off: ALMPs significantly improve their employment and earnings prospects, particularly in Low- and Middle-income countries. Youth at greatest risk of labour market exclusion often benefit the most. To guide future program design, the report identifies features of ALMPs that are associated with positive impacts on youth. ",No,Technical Report,New,extrabudgetary,Youth only,2024
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",Active Labour Market Programs Improve Employment and Earnings of Young People,Output 3.5,https://www.ilo.org/publications/active-labour-market-programs-improve-employment-and-earnings-young-people,"A systematic review by the World Bank and the International Labour Organization (ILO) combines results from evaluations of 220 youth-focused active labour market programs (ALMPs) conducted around the world since 1990. The evidence shows that investments in labour market programs for young people pay off: ALMPs significantly improve their employment and earnings prospects, particularly in Low- and Middle-income countries. Youth at greatest risk of labour market exclusion often benefit the most. To guide future program design, the report identifies features of ALMPs that are associated with positive impacts on youth. ",No,Technical Report,New,extrabudgetary,Youth only,2024
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0041,Conditions of Work and Equality,"ILO Global Estimates
on International Migrant Workers
International migrants in the labour force
Fourth edition",GLO464,https://www.ilo.org/sites/default/files/2024-12/MIGRANT%20%E2%80%93%20ILO%20Global%20Estimates%20on%20International%20Migrant%20Workers_WEB_0.pdf,"This fourth edition of the ILO Global Estimates on International Migrant Workers: International Migrants in the Labour Force presents the most recent estimates on the stock of international migrants in the labour force, employed international migrants and unemployed international migrants, for the reference year 2022. The estimates are disaggregated by sex, country income group and region. The periodic publication of this report offers valuable insights into trends in international labour migration, recognizes the contribution of migrant workers to destination labour markets and highlights the critical importance of data-driven policymaking at national, regional and global levels.",Yes,Data/Database,Produced regularly,Regular Budget,Youth are one of the target groups,2024
USR-202506-0041,Conditions of Work and Equality,,,,,,,,,,2024
USR-202506-0042,Governance and Tripartism,ILO Child Labour Framework for Action,,https://www.ilo.org/publications/framework-action-child-labour-2023-2025,"Includes strategy to strengthen skills and lifelong learning programmes to provide accessible, relevant and targeted
skilling and upskilling, and career development services, to parents and working-age youth to
enhance their employability and income-generation potential.",No,Guidance/Tools,New,Regular Budget,Youth are one of the target groups,2024
USR-202506-0042,Governance and Tripartism,ACCEL Africa II,CIV901,,Rapid-assessment of youth employment opportunities in Moronou and Nawa Regions (with a focus on youth 15-17 years old),No,Working paper,New,extrabudgetary,Youth only,2024
USR-202506-0042,Governance and Tripartism,,,,,,,,,,2024
USR-202506-0042,Governance and Tripartism,,,,,,,,,,2024
USR-202506-0042,Governance and Tripartism,,,,,,,,,,2024
USR-202506-0042,Governance and Tripartism,,,,,,,,,,2024
USR-202506-0043,Region: Latin America and the Caribbean,,,,,,,,,,2024
USR-202506-0043,Region: Latin America and the Caribbean,,,,,,,,,,2024
USR-202506-0043,Region: Latin America and the Caribbean,,,,,,,,,,2024
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0001,Region: Asia and the Pacific,Guide on Core Skills for the Green Transition - Student Book,CHN 252,,"The Guide,developed under 'Quality Apprenticeship and Lifelong Learning in China Project Phase 2', is a pioneering tool to introduce TVET students fundamental transferable skills for the green transition, including green literacy, green thinking and green production and services.",No,Guidance/Tools,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0001,Region: Asia and the Pacific,"Situation Analysis of
 Youth Development in China",CHN 251,,"The research report is co-led by UNFPA, UNICEF and ILO as a guiding document for UN China Youth Theme Group",No,Technical Report,New,extrabudgetary,Youth only,2025
USR-202506-0001,Region: Asia and the Pacific,,,,,,,,,,2025
USR-202506-0002,Statistics,Outcome A,,https://rplumber.ilo.org/data/indicator/?id=EMP_5EMP_SEX_STE_NB_A&timefrom=2019&timeto=2023&type=label&format=.csv,Dissemination of Statistics aligned with ICSE-18,No,Data/Database,Produced regularly,Regular Budget,Youth are one of the target groups,2025
USR-202506-0003,Region: Asia and the Pacific,"Trends in child labour in Myanmar 2021-24. A study of Mon, Kayin, Kayah and Shan States",MMR101,https://www.ilo.org/publications/trends-child-labour-myanmar-2021-24-study-mon-kayin-kayah-and-shan-states,"This study assesses child labour in Myanmar's Mon, Kayin, Kayah (Karenni), and Shan States, highlighting key trends, causes, and developments. Based on early 2024 interviews and focus groups, it examines economic, cultural, and systemic drivers, supported by case studies. The findings inform key stakeholders on viable strategies for sustainable child labour reduction.",No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0003,Region: Asia and the Pacific,"The Assessment of value chains in pilot areas of the Myanmar Programme on the Elimination of Child Labour (My-PEC) in the Ayeyarwady Region, Yangon Region and Mon State",MMR101,https://www.ilo.org/publications/assessment-value-chains-pilot-areas-myanmar-programme-elimination-child,"This study explores ways to create sustainable economic opportunities by identifying value chains that can help people earn a stable income. It looks at market trends, job opportunities, and the challenges people face in finding employment. Based on these findings, the study provides useful recommendations on how to improve livelihoods and develop vocational training programs. The goal is to help individuals and businesses grow, ensuring long-term economic success and better job opportunities for communities.",No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,2025
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,2025
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,2025
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,2025
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,2025
USR-202506-0005,Region: Arab States,,,,,,,,,,2025
USR-202506-0006,Region: Arab States,,,,,,,,,,2025
USR-202506-0006,Region: Arab States,,,,,,,,,,2025
USR-202506-0006,Region: Arab States,,,,,,,,,,2025
USR-202506-0006,Region: Arab States,,,,,,,,,,2025
USR-202506-0006,Region: Arab States,,,,,,,,,,2025
USR-202506-0006,Region: Arab States,,,,,,,,,,2025
USR-202506-0007,Region: Arab States,Youth Guarantee,SBU104; MKD130; ALB132; MNE129; SRB130; BiH128,,for beneficiary economies,,Guidance/Tools,,extrabudgetary,Youth only,2025
USR-202506-0007,Region: Arab States,Youth Guarantee,SBU104; MKD130; ALB132; MNE129; SRB130; BiH129,,for beneficiary economies,,Technical Report,,extrabudgetary,Youth only,2025
USR-202506-0007,Region: Arab States,,,,,,,,,,2025
USR-202506-0007,Region: Arab States,,,,,,,,,,2025
USR-202506-0007,Region: Arab States,,,,,,,,,,2025
USR-202506-0007,Region: Arab States,,,,,,,,,,2025
USR-202506-0007,Region: Arab States,,,,,,,,,,2025
USR-202506-0007,Region: Arab States,,,,,,,,,,2025
USR-202506-0007,Region: Arab States,,,,,,,,,,2025
USR-202506-0008,Region: Europe and Central Asia,World Employment and Social Outlook: Trends 2024,GLO382,https://www.ilo.org/publications/flagship-reports/world-employment-and-social-outlook-trends-2024,"Annual reporting on labour market trends, including youth",Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2025
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,2025
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,2025
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,2025
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,2025
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,2025
USR-202506-0009,Region: Africa,,,,,,,,,,2025
USR-202506-0009,Region: Africa,,,,,,,,,,2025
USR-202506-0009,Region: Africa,,,,,,,,,,2025
USR-202506-0011,Research and Publications,,,,,,,,,,2025
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,2025
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,2025
USR-202506-0012,International Training Centre of the ILO,SDG 8.b.1 indicator reporting,GLO435,https://unstats.un.org/sdgs/metadata/?Text=&Goal=8&Target=8.b,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy",Yes,Data/Database,Produced regularly,extrabudgetary,Youth only,2025
USR-202506-0012,International Training Centre of the ILO,Employment Policy Gateway / Youth Employment Strategies Module,GLO435,https://webapps.ilo.org/empolgateway/#youth-employment:1,Provides information on national youth employment strategies globally.,Yes,Data/Database,Produced regularly,extrabudgetary,Youth only,2025
USR-202506-0012,International Training Centre of the ILO,Youth at Work Report,GLO435,https://www.ilo.org/publications/youth-work-g20-countries-progress-and-policy-action-2023,"Report prepared jointly by the ILO and the OECD and presented at the G20 Labour and Employment Ministerial Meeting under Brazil's presidency gives an overview of progress made by G20 countries towards achieving the Antalya target, and policy action taken by governments to reduce the share of at-risk youth.

Facebook
X
Linkedin",Yes,Technical Report,Produced regularly,extrabudgetary,Youth only,2025
USR-202506-0012,International Training Centre of the ILO,Launch of Global Employment Trends for Youth,Enabling Outcome A,https://www.ilo.org/resource/news/number-youth-not-employment-education-or-training-neet-cause-concern,Press release (and media briefing) + web pages,Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2025
USR-202506-0012,International Training Centre of the ILO,Launch of Global Employment Trends for Youth,Enabling Outcome A,https://www.ilo.org/resource/article/global-employment-trends-youth-2024-figures,Data visualizations,Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2025
USR-202506-0012,International Training Centre of the ILO,Launch of Global Employment Trends for Youth,Enabling Outcome A,https://www.youtube.com/watch?v=rUwKaFzenjQ,Explainer video,Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2025
USR-202506-0012,International Training Centre of the ILO,Launch of Global Employment Trends for Youth,Enabling Outcome A,https://trello.com/c/VQneFofw/1220-12-august-global-employment-trends-for-youth-report-international-youth-day ,Social media materials,Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2025
USR-202506-0012,International Training Centre of the ILO,Launch of Global Employment Trends for Youth,Enabling Outcome A,https://www.linkedin.com/posts/international-labour-organization-ilo_the-global-employment-trends-for-youth-2024-activity-7229094858202730497-TvY1?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAC1eKwBK-cBM0CRws6QHU5ofw8GbP1MR-s ,Social media posts (as an example),Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2025
USR-202506-0013,Region: Europe and Central Asia,Launch of Global Employment Trends for Youth,Enabling Outcome A,https://voices.ilo.org/podcast/youth-employment-why-are-anxieties-among-young-people-growing-even-as-youth-unemployment-rates-fall#headline,Podcast - Youth employment: Why are anxieties among young people growing even as youth unemployment rates fall?,Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2025
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",Youth employment topic portal on new website,Enabling Outcome A,https://www.ilo.org/topics-and-sectors/youth-employment,Support with migration of youth employment content to new topic portal on ilo.org ,Yes,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",Podcast - How young refugees are using skills and entrepreneurship to find independence,Enabling Outcome A,https://voices.ilo.org/podcast/how-young-refugees-are-using-skills-and-entrepreneurship-to-find-independence#headline,Podcast - How young refugees are using skills and entrepreneurship to find independence,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",Podcast - The social justice challenge for African youth,Enabling Outcome A,https://voices.ilo.org/podcast/social-justice-challenge-for-african-youth#headline ,Podcast - The social justice challenge for African youth,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0015,Communication and Public Information,Podcast - The social justice challenge for youth in Colombia,Enabling Outcome A,https://voices.ilo.org/es-es/podcast/en-colombia-crear-empleo-decente-anima-a-los-jovenes-a-quedarse-en-el-campo#headline ,Podcast - The social justice challenge for youth in Colombia,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0015,Communication and Public Information,ILO in Action video - Cote d'Ivoire,Enabling Outcome A,https://www.ilo.org/resource/article/ilo-action-c%C3%B4te-divoire ,ILO in Action video - Cote d'Ivoire,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0015,Communication and Public Information,ILO in Action video - Colombia,Enabling Outcome A,https://www.ilo.org/resource/news/empowering-colombian-students-senatec-project ,ILO in Action video - Colombia,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0015,Communication and Public Information,ILO social media content,Enabling Outcome A,https://live.ilo.org/event/world-youth-skills-day-2024-2024-07-15 ,ILO Live broadcast,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0015,Communication and Public Information,Interactive dialogue and launch of "Work Wise Youth: A guide to youth rights at work",Enabling Outcome A,https://live.ilo.org/event/interactive-dialogue-and-launch-work-wise-youth-guide-youth-rights-work-2024-02-14 ,ILO Live broadcast,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0015,Communication and Public Information,Event on youth challenge in Africa,Enabling Outcome A,https://live.ilo.org/event/social-justice-african-youth-challenge-2024-02-23 ,ILO Live broadcast,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0015,Communication and Public Information,ILO social media content,Enabling Outcome A,https://trello.com/b/5BXjkre2/ilo-social-media,ILO social media content,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0015,Communication and Public Information,,,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,,,2025
USR-202506-0015,Communication and Public Information,ILO-IFAD brief,GLO433 and GLO435," https://www.ilo.org/publications/elevating-potential-rural-youth-paths-decent-jobs-and-sustainable-futures-1#:~:text=ILO%20brief-,Elevating%20the%20potential%20of%20rural%20youth%3A%20Paths,Decent%20Jobs%20and%20Sustainable%20Futures&text=The%20ILO%20policy%20brief%20addresses,of%20the%20rural%20labour%20market.","The ILO policy brief addresses the urgent need to create decent jobs for rural youth by examining both the demand and supply sides of the rural labour market.?Capitalizing on the lessons learned from the IFAD-sponsored ProAgro YOUTH and JOY projects, the brief outlines various policy actions and recommendations to foster a policy? environment conducive to rural youth employment.Importantly, it also stresses the importance of social dialogue and rights at work. The brief underlines as well how effective partnerships to advance coordinated efforts among stakeholders, including government bodies, employers and workers organizations and youth organizations, are key to create sustainable job opportunities and address the unique challenges faced by rural youth.",No,Technical Report,New,extrabudgetary,Youth only,2025
USR-202506-0015,Communication and Public Information,,,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,,,2025
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",Work Wise Youth: A Guide to Youth Rights at Work (session 5),Outcome 7- GLO371,https://www.ilo.org/WorkWiseYouth,,No,Guidance/Tools,New,Regular Budget,Youth only,2025
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition","The promise of universal child benefits: 
The foundational policy for economic and social development",Outcome 7- GLO371,https://www.social-protection.org/gimi/Media.action?id=19447,,No,Technical Report,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition","World Social Protection Report 2024-26: USP for climate action and a just transition (Chap.2.2.2, 4.2.6)",Outcome 7- GLO373,https://www.ilo.org/publications/flagship-reports/world-social-protection-report-2024-26-universal-social-protection-climate,,Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2025
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",Arab States Employment and Social Outlook - Trends 2024: Promoting social justice through a just transition,A.2,https://www.ilo.org/publications/major-publications/arab-states-employment-and-social-outlook-trends-2024-promoting-social,"The report offers an in-depth analysis of the economic and employment landscape in the Arab States, with a focus on disadvantaged groups including the youth and the challenges they face. Emphasizing social justice, the report highlights opportunities for more inclusive and equitable labour markets, examining regional trends while drawing on national examples where relevant.",Yes,Technical Report,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition","Promoting youth employment in Songkhla and Yala, Thailand",,https://www.ilo.org/publications/promoting-youth-employment-songkhla-and-yala-thailand,"It provides description of the socioeconomic context of Songkhla and Yala, and the labour market situation (up to 2022).",No,Technical Report,New,Regular Budget,Youth only,2025
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",Work wise youth: A guide to youth rights at work,MNG155,https://www.ilo.org/WorkWiseYouth?lang=mn,Translation and local adaption,No,Guidance/Tools,New,extrabudgetary,Youth only,2025
USR-202506-0017,Sectoral Policies,,,,,,,,,,2025
USR-202506-0017,Sectoral Policies,,,,,,,,,,2025
USR-202506-0017,Sectoral Policies,,,,,,,,,,2025
USR-202506-0018,Universal Social Protection,,,,,,,,,,2025
USR-202506-0018,Universal Social Protection,,,,,,,,,,2025
USR-202506-0018,Universal Social Protection,Cooperative Sector Strategy (2024?C2029,DWCP Palestine / GLO/COOP,,"Strategic framework outlining vision, goals, and priorities for cooperative development in Palestine",Yes,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0019,Region: Arab States,Cooperative Audit Manua,DWCP Palestine / GLO/COOP,,"Manual to standardize cooperative auditing practices, developed with Jordan Cooperative Corporation.",No,Guidance/Tools,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0020,Region: Asia and the Pacific,Staff Capacity Building (CWA),DWCP Palestine / GLO/COOP,,"Training conducted for CWA staff on cooperative management, auditing, and strategic planning.",No,best practices/lessons learned,Produced regularly,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0020,Region: Asia and the Pacific,Cooperative Business Plan Competition,DWCP Palestine / GLO/COOP,,University-based competition to promote youth-led cooperative business models.,Yes,best practices/lessons learned,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0020,Region: Asia and the Pacific,Integration of ILO's Think.COOP and Start.COOP into University Incubators,DWCP Palestine / GLO/COOP,,Incorporation of ILO tools into youth incubation programs at Al-Quds University.,No,Guidance/Tools,New,extrabudgetary,Youth only,2025
USR-202506-0020,Region: Asia and the Pacific,Feasibility Study and Legal Mapping for Childcare Cooperative,DWCP Palestine / GLO/COOP,,"Study to support the establishment of a childcare cooperative with PGFTU, including legal and institutional analysis",No,Technical Report,,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0020,Region: Asia and the Pacific,Marketing and Packaging Support Toolkit,DWCP Palestine / GLO/COOP,,"Toolkit for women-led cooperatives on packaging, branding, and market access, developed with WFP.",No,Guidance/Tools,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0020,Region: Asia and the Pacific,Knowledge Exchange with Italian Institutions,DWCP Palestine / GLO/COOP,,Documentation of engagement with Legacoop and academic institutions to share cooperative knowledge.,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0020,Region: Asia and the Pacific,Outreach and Communication,DWCP Palestine / GLO/COOP,,"Facilitated MoUs with Roma Tre, Bologna, and others for academic and technical cooperation.",No,best practices/lessons learned,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0022,Region: Arab States,Employment and Trade Impacts of the Wadi Al Arab Water System II Project in Jordan, JOR101,https://www.ilo.org/publications/employment-and-trade-impacts-wadi-al-arab-water-system-ii-project-jordan,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0022,Region: Arab States,'valuation de l'impact sur l'emploi et le commerce au Maroc,MAR102,https://www.ilo.org/fr/publications/evaluation-de-limpact-sur-lemploi-et-le-commerce-au-maroc,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0022,Region: Arab States,Employment and Trade Impact Assessment of the 'Kafr El Sheikh Wastewater Expansion Program' in Egypt (unpublished),EGY106,,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0022,Region: Arab States,'valuation de l'impact sur l'emploi et le commerce en Tunisie,TUN103,https://www.ilo.org/fr/publications/evaluation-de-limpact-sur-lemploi-et-le-commerce-en-tunisie,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0022,Region: Arab States,"Skills for Trade and Economic
Diversification (STED) Analysis of the
Engineering Products and Services
Sectors in Jordan",JOR101,https://www.ilo.org/publications/exploring-employment-opportunities-jordan%E2%80%99s-engineering-sector,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0022,Region: Arab States,"Comp'tences pour le Commerce et
la Diversification 'conomique (STED)
de la cha?ne de valeur de la branche
de la bonneterie au Maroc (unpublished)",MOR103,,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0022,Region: Arab States,"Skills for Trade and Economic
Diversification (STED) and Trade
and Value Chains in Employment-
Rich Activities (TRAVERA) within
the value chain of aromatic and
medicinal plants in Tunisia (unpublished)",TUN101+102,,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0022,Region: Arab States,"TRAVERA-STED analysis of the Sugar, Sugar Confectionary and Chocolate in Egypt (unpublished)",EGY101,,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0022,Region: Arab States,Nacala road corridor (NTL study)(July 2024),GLO431,https://www.ilo.org/publications/employment-impact-assessment-luangwa-mwami-road-part-interregional-nacala,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",PNDP (September 2024),GLO432,https://www.ilo.org/publications/employment-impact-assessment-11th-european-development-fund-national,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
